"File","PageFamily","CurrentTitle","ProposedTitle","CurrentDescription","ProposedDescription","CurrentH1","ProposedH1","CurrentCanonical","ProposedCanonicalScheme","ProposedCanonicalHost","ProposedCanonicalPath","CanonicalStrategy","ProposedOpenGraphTitle","ProposedOpenGraphDescription","ProposedTwitterTitle","ProposedTwitterDescription","SchemaPlan","FaqPlan","IndexingIntent","Notes"
"index.html","homepage-market-wide","Crain Bros Inc | Restoration - Repairs - Construction | Jonesboro, AR","Crain Bros Inc | Restoration, Repairs & Construction | Northeast Arkansas","Crain Bros Inc is a property damage restoration and construction company based in Jonesboro, Arkansas.","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services across Northeast Arkansas.","Crain Bros Inc","Crain Bros Inc","","https","services.crainbrosinc.com","/","Self-canonical market-wide homepage candidate.","Crain Bros Inc | Restoration, Repairs & Construction | Northeast Arkansas","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services across Northeast Arkansas.","Crain Bros Inc | Restoration, Repairs & Construction | Northeast Arkansas","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services across Northeast Arkansas.","LocalBusiness or construction/restoration business entity; organization identity; service area; major services; website identity; image/logo references after image strategy approval.","Add visible homepage FAQ content about service area, services offered, inspection/documentation process, and how to contact Crain Bros Inc.","Indexable market-wide homepage.","Homepage must remain market-wide and must not be organized under a single ZIP code."
"pages\building-consultant.html","service-category","Building Consultant in Jonesboro, AR | Crain Bros Inc","Building Consultant | Crain Bros Inc | Northeast Arkansas","Building Consultant services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides building consultant services for properties across Northeast Arkansas.","Building Consultant in Jonesboro, AR","Building Consultant","","https","services.crainbrosinc.com","/pages/building-consultant.html","Self-canonical service-category page candidate.","Building Consultant | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building consultant services for properties across Northeast Arkansas.","Building Consultant | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building consultant services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
"pages\building-inspector.html","service-category","Building Inspection Services in Jonesboro, AR | Crain Bros Inc","Building Inspection Services | Crain Bros Inc | Northeast Arkansas","building inspection services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides building inspection services for properties across Northeast Arkansas.","Building Inspection Services in Jonesboro, AR","Building Inspection Services","","https","services.crainbrosinc.com","/pages/building-inspector.html","Self-canonical service-category page candidate.","Building Inspection Services | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building inspection services for properties across Northeast Arkansas.","Building Inspection Services | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building inspection services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
"pages\building-restoration.html","service-category","Building Restoration in Jonesboro, AR | Crain Bros Inc","Building Restoration | Crain Bros Inc | Northeast Arkansas","Building Restoration services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides building restoration services for properties across Northeast Arkansas.","Building Restoration in Jonesboro, AR","Building Restoration","","https","services.crainbrosinc.com","/pages/building-restoration.html","Self-canonical service-category page candidate.","Building Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building restoration services for properties across Northeast Arkansas.","Building Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building restoration services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
"pages\construction.html","service-category","Construction in Jonesboro, AR | Crain Bros Inc","Construction | Crain Bros Inc | Northeast Arkansas","Construction services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides construction services for properties across Northeast Arkansas.","Construction in Jonesboro, AR","Construction","","https","services.crainbrosinc.com","/pages/construction.html","Self-canonical service-category page candidate.","Construction | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides construction services for properties across Northeast Arkansas.","Construction | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides construction services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
"pages\fire-damage.html","service-category","Fire Damage Restoration in Jonesboro, AR | Crain Bros Inc","Fire Damage Restoration | Crain Bros Inc | Northeast Arkansas","Fire Damage Restoration services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides fire damage restoration services for properties across Northeast Arkansas.","Fire Damage Restoration in Jonesboro, AR","Fire Damage Restoration","","https","services.crainbrosinc.com","/pages/fire-damage.html","Self-canonical service-category page candidate.","Fire Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides fire damage restoration services for properties across Northeast Arkansas.","Fire Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides fire damage restoration services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
"pages\plumbing.html","service-category","Plumbing in Jonesboro, AR | Crain Bros Inc","Plumbing | Crain Bros Inc | Northeast Arkansas","Plumbing services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides plumbing services for properties across Northeast Arkansas.","Plumbing in Jonesboro, AR","Plumbing","","https","services.crainbrosinc.com","/pages/plumbing.html","Self-canonical service-category page candidate.","Plumbing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides plumbing services for properties across Northeast Arkansas.","Plumbing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides plumbing services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
"pages\remodeling.html","service-category","Remodeling in Jonesboro, AR | Crain Bros Inc","Remodeling | Crain Bros Inc | Northeast Arkansas","Remodeling services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides remodeling services for properties across Northeast Arkansas.","Remodeling in Jonesboro, AR","Remodeling","","https","services.crainbrosinc.com","/pages/remodeling.html","Self-canonical service-category page candidate.","Remodeling | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides remodeling services for properties across Northeast Arkansas.","Remodeling | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides remodeling services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
"pages\water-damage.html","service-category","Water Damage Restoration in Jonesboro, AR | Crain Bros Inc","Water Damage Restoration | Crain Bros Inc | Northeast Arkansas","Water Damage Restoration services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides water damage restoration services for properties across Northeast Arkansas.","Water Damage Restoration in Jonesboro, AR","Water Damage Restoration","","https","services.crainbrosinc.com","/pages/water-damage.html","Self-canonical service-category page candidate.","Water Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides water damage restoration services for properties across Northeast Arkansas.","Water Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides water damage restoration services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
"pages\waterproofing.html","service-category","Waterproofing in Jonesboro, AR | Crain Bros Inc","Waterproofing | Crain Bros Inc | Northeast Arkansas","Waterproofing services from Crain Bros Inc in Jonesboro, AR. Serving Northeast Arkansas.","Crain Bros Inc provides waterproofing services for properties across Northeast Arkansas.","Waterproofing in Jonesboro, AR","Waterproofing","","https","services.crainbrosinc.com","/pages/waterproofing.html","Self-canonical service-category page candidate.","Waterproofing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides waterproofing services for properties across Northeast Arkansas.","Waterproofing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides waterproofing services for properties across Northeast Arkansas.","Service JSON-LD associated with Crain Bros Inc; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Add visible service-specific FAQ content, then add matching FAQPage JSON-LD only where visible FAQ content exists.","Indexable service-category page.","Service page should be service-specific and Northeast Arkansas oriented, not forced into one ZIP."
