"ImportedAtLocal","Scope","TargetPageFamily","ServiceSlug","AreaSlug","Role","RelativePath","OriginalFileName"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72401","before-after","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72401/water-damage-restoration-jonesboro-ar-72401-crain-bros-inc-before-after-01.jpg","water-damage-restoration-in-jonesboro-ar.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72401","equipment","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72401/water-damage-restoration-jonesboro-ar-72401-crain-bros-inc-equipment-01.jpg","Equipment_11.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72401","equipment","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72401/water-damage-restoration-jonesboro-ar-72401-crain-bros-inc-equipment-02.jpg","moisture-meter-equipment-jonesboro-ar-crain-bros-inc.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72401","equipment","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72401/water-damage-restoration-jonesboro-ar-72401-crain-bros-inc-equipment-03.jpg","water-extraction-equipment-jonesboro-ar-crain-bros-inc.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72401","team","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72401/water-damage-restoration-jonesboro-ar-72401-crain-bros-inc-team-01.jpg","crain-bros-inc-restoration-team-jonesboro-ar.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72402","documentation","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72402/water-damage-restoration-jonesboro-ar-72402-crain-bros-inc-documentation-01.jpg","Documentation_04.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72402","documentation","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72402/water-damage-restoration-jonesboro-ar-72402-crain-bros-inc-documentation-02.jpg","Documentation_17.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72402","documentation","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72402/water-damage-restoration-jonesboro-ar-72402-crain-bros-inc-documentation-03.jpg","water-damage-repair-in-jonesboro-ar.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72402","team","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72402/water-damage-restoration-jonesboro-ar-72402-crain-bros-inc-team-01.jpg","Project_Team_03.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72403","documentation","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72403/water-damage-restoration-jonesboro-ar-72403-crain-bros-inc-documentation-01.jpg","Documentation_14.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72403","documentation","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72403/water-damage-restoration-jonesboro-ar-72403-crain-bros-inc-documentation-02.jpg","Equipment_11.jpg"
"2026-06-11 13:28:59","service-category-pages","pages","water-damage-restoration","jonesboro-ar-72403","team","images/page-assets/service-category-pages/water-damage-restoration/jonesboro-ar-72403/water-damage-restoration-jonesboro-ar-72403-crain-bros-inc-team-01.jpg","Project_Team_03.jpg"
"2026-06-11 14:32:32","home-page","index.html","building-consultant","market-wide","service-card","images/page-assets/home-page/service-cards/building-consultant/building-consultant-northeast-arkansas-crain-bros-inc-service-card-01.jpg","project-planning-002.jpg"
"2026-06-11 14:32:32","home-page","index.html","building-inspection","market-wide","service-card","images/page-assets/home-page/service-cards/building-inspection/building-inspection-northeast-arkansas-crain-bros-inc-service-card-01.jpg","Documentation_03.jpg"
"2026-06-11 14:32:32","home-page","index.html","building-restoration","market-wide","service-card","images/page-assets/home-page/service-cards/building-restoration/building-restoration-northeast-arkansas-crain-bros-inc-service-card-01.jpg","tormado-damage.jpg"
"2026-06-11 14:32:32","home-page","index.html","construction","market-wide","service-card","images/page-assets/home-page/service-cards/construction/construction-northeast-arkansas-crain-bros-inc-service-card-01.jpg","reconstruction.jpg"
"2026-06-11 14:32:32","home-page","index.html","fire-damage-restoration","market-wide","service-card","images/page-assets/home-page/service-cards/fire-damage-restoration/fire-damage-restoration-northeast-arkansas-crain-bros-inc-service-card-01.jpg","Fire_Damage_19.jpg"
"2026-06-11 14:32:32","home-page","index.html","plumbing","market-wide","service-card","images/page-assets/home-page/service-cards/plumbing/plumbing-northeast-arkansas-crain-bros-inc-service-card-01.jpg","Plumbing.jpg"
"2026-06-11 14:32:32","home-page","index.html","remodeling","market-wide","service-card","images/page-assets/home-page/service-cards/remodeling/remodeling-northeast-arkansas-crain-bros-inc-service-card-01.jpg","final-cleaning-001.jpg"
"2026-06-11 14:32:32","home-page","index.html","water-damage-restoration","market-wide","service-card","images/page-assets/home-page/service-cards/water-damage-restoration/water-damage-restoration-northeast-arkansas-crain-bros-inc-service-card-01.jpg","water-damage-ceiling-leak-002.jpg"
"2026-06-11 14:32:32","home-page","index.html","waterproofing","market-wide","service-card","images/page-assets/home-page/service-cards/waterproofing/waterproofing-northeast-arkansas-crain-bros-inc-service-card-01.jpg","Foundation_Waterproofing_07.jpg"
